Distance,Method,Success,Confidence
4.0,DAE Filter (With DAE),1,0.3433544635772705
4.0,Standard (No DAE),0,0.14115098118782043
4.0,DAE Filter (With DAE),0,0.17447970807552338
4.0,Standard (No DAE),1,0.21983739733695984
4.0,DAE Filter (With DAE),1,0.2767508327960968
4.0,Standard (No DAE),1,0.21120727062225342
4.0,DAE Filter (With DAE),1,0.25418782234191895
4.0,Standard (No DAE),1,0.20357587933540344
4.0,DAE Filter (With DAE),1,0.24130868911743164
4.0,Standard (No DAE),1,0.21469877660274506
4.0,DAE Filter (With DAE),1,0.2509748041629791
4.0,Standard (No DAE),0,0.1549353152513504
4.0,DAE Filter (With DAE),0,0.17656540870666504
4.0,Standard (No DAE),1,0.16425339877605438
4.0,DAE Filter (With DAE),1,0.19781795144081116
4.5,Standard (No DAE),1,0.22972439229488373
4.5,DAE Filter (With DAE),1,0.26696231961250305
4.5,Standard (No DAE),0,0.21203991770744324
4.5,DAE Filter (With DAE),0,0.2685229182243347
4.5,Standard (No DAE),0,0.10922744870185852
4.5,DAE Filter (With DAE),0,0.14852070808410645
4.5,Standard (No DAE),1,0.13680505752563477
4.5,DAE Filter (With DAE),1,0.1663866937160492
4.5,Standard (No DAE),0,0.15224550664424896
4.5,DAE Filter (With DAE),0,0.2038237452507019
4.5,Standard (No DAE),1,0.19053928554058075
4.5,DAE Filter (With DAE),1,0.2278427928686142
4.5,Standard (No DAE),1,0.1779024302959442
4.5,DAE Filter (With DAE),1,0.19746872782707214
4.5,Standard (No DAE),1,0.15405553579330444
4.5,DAE Filter (With DAE),1,0.21012446284294128
4.5,Standard (No DAE),1,0.15958021581172943
4.5,DAE Filter (With DAE),1,0.20142070949077606
4.5,Standard (No DAE),0,0.14465205371379852
4.5,DAE Filter (With DAE),0,0.20167377591133118
5.0,Standard (No DAE),0,0.11258333176374435
5.0,DAE Filter (With DAE),0,0.1332850456237793
5.0,Standard (No DAE),0,0.12438349425792694
5.0,DAE Filter (With DAE),0,0.17526695132255554
5.0,Standard (No DAE),0,0.10517745465040207
5.0,DAE Filter (With DAE),0,0.14544017612934113
5.0,Standard (No DAE),0,0.12700144946575165
5.0,DAE Filter (With DAE),0,0.16154900193214417
5.0,Standard (No DAE),1,0.17576321959495544
5.0,DAE Filter (With DAE),1,0.24911560118198395
5.0,Standard (No DAE),0,0.10831411927938461
5.0,DAE Filter (With DAE),1,0.1251799762248993
5.0,Standard (No DAE),0,0.09015097469091415
5.0,DAE Filter (With DAE),0,0.11112386733293533
5.0,Standard (No DAE),0,0.13646157085895538
5.0,DAE Filter (With DAE),0,0.1637607365846634
5.0,Standard (No DAE),0,0.13131941854953766
5.0,DAE Filter (With DAE),0,0.15725243091583252
5.0,Standard (No DAE),1,0.07897248864173889
5.0,DAE Filter (With DAE),1,0.10147795081138611
5.5,Standard (No DAE),1,0.1376509964466095
5.5,DAE Filter (With DAE),0,0.1650732457637787
5.5,Standard (No DAE),1,0.1671939492225647
5.5,DAE Filter (With DAE),1,0.20966385304927826
5.5,Standard (No DAE),0,0.11836064606904984
5.5,DAE Filter (With DAE),0,0.15466900169849396
5.5,Standard (No DAE),1,0.1613435447216034
5.5,DAE Filter (With DAE),1,0.19403120875358582
5.5,Standard (No DAE),1,0.13642168045043945
5.5,DAE Filter (With DAE),1,0.1550343930721283
5.5,Standard (No DAE),0,0.140423983335495
5.5,DAE Filter (With DAE),1,0.2023552656173706
5.5,Standard (No DAE),0,0.16605930030345917
5.5,DAE Filter (With DAE),0,0.2394416630268097
5.5,Standard (No DAE),0,0.11283837258815765
5.5,DAE Filter (With DAE),0,0.14935502409934998
5.5,Standard (No DAE),1,0.15561625361442566
5.5,DAE Filter (With DAE),1,0.18864718079566956
5.5,Standard (No DAE),1,0.09214095771312714
5.5,DAE Filter (With DAE),1,0.1361379325389862
6.0,Standard (No DAE),1,0.18556272983551025
6.0,DAE Filter (With DAE),1,0.23827385902404785
6.0,Standard (No DAE),0,0.09995417296886444
6.0,DAE Filter (With DAE),0,0.12932516634464264
6.0,Standard (No DAE),0,0.09722435474395752
6.0,DAE Filter (With DAE),0,0.11492672562599182
6.0,Standard (No DAE),0,0.10031244158744812
6.0,DAE Filter (With DAE),0,0.13475053012371063
6.0,Standard (No DAE),0,0.139931783080101
6.0,DAE Filter (With DAE),0,0.1828596144914627
6.0,Standard (No DAE),0,0.14973410964012146
6.0,DAE Filter (With DAE),0,0.1712186336517334
6.0,Standard (No DAE),1,0.19144998490810394
6.0,DAE Filter (With DAE),1,0.22184628248214722
6.0,Standard (No DAE),0,0.18260402977466583
6.0,DAE Filter (With DAE),0,0.22443650662899017
6.0,Standard (No DAE),0,0.15346719324588776
6.0,DAE Filter (With DAE),0,0.19539353251457214
6.0,Standard (No DAE),0,0.12793932855129242
6.0,DAE Filter (With DAE),0,0.1407201886177063
6.5,Standard (No DAE),0,0.12544392049312592
6.5,DAE Filter (With DAE),1,0.160010427236557
6.5,Standard (No DAE),0,0.10248726606369019
6.5,DAE Filter (With DAE),0,0.11923322826623917
6.5,Standard (No DAE),0,0.146844282746315
6.5,DAE Filter (With DAE),0,0.20625098049640656
6.5,Standard (No DAE),0,0.1179274320602417
6.5,DAE Filter (With DAE),0,0.16625681519508362
6.5,Standard (No DAE),0,0.13296790421009064
6.5,DAE Filter (With DAE),0,0.15848085284233093
6.5,Standard (No DAE),0,0.12012812495231628
6.5,DAE Filter (With DAE),1,0.16137626767158508
6.5,Standard (No DAE),0,0.11857645958662033
6.5,DAE Filter (With DAE),0,0.16244234144687653
6.5,Standard (No DAE),0,0.12626032531261444
6.5,DAE Filter (With DAE),0,0.13854585587978363
6.5,Standard (No DAE),0,0.1383066177368164
6.5,DAE Filter (With DAE),0,0.18587957322597504
6.5,Standard (No DAE),0,0.14651751518249512
6.5,DAE Filter (With DAE),0,0.1729244440793991
7.0,Standard (No DAE),0,0.16170772910118103
7.0,DAE Filter (With DAE),0,0.2220732569694519
7.0,Standard (No DAE),0,0.09119449555873871
7.0,DAE Filter (With DAE),0,0.11442124843597412
7.0,Standard (No DAE),0,0.11228962242603302
7.0,DAE Filter (With DAE),0,0.14578041434288025
7.0,Standard (No DAE),0,0.11966191977262497
7.0,DAE Filter (With DAE),0,0.16013474762439728
7.0,Standard (No DAE),0,0.08253476768732071
7.0,DAE Filter (With DAE),0,0.11110109835863113
7.0,Standard (No DAE),0,0.16426929831504822
7.0,DAE Filter (With DAE),0,0.19458487629890442
7.0,Standard (No DAE),0,0.0964999794960022
7.0,DAE Filter (With DAE),0,0.11465760320425034
7.0,Standard (No DAE),0,0.12666022777557373
7.0,DAE Filter (With DAE),0,0.1435200572013855
7.0,Standard (No DAE),0,0.12657977640628815
7.0,DAE Filter (With DAE),1,0.16215749084949493
7.0,Standard (No DAE),0,0.1198679506778717
7.0,DAE Filter (With DAE),0,0.14142028987407684
